category_level1,order_year,order_month,sales_volume
Beauty,2016,1,113809
Beauty,2016,2,137793
Beauty,2016,3,164652
Beauty,2016,4,122023
Beauty,2016,5,111735
Beauty,2016,6,94251
Beauty,2016,7,104731
Beauty,2016,8,138208
Beauty,2016,9,193590
Beauty,2016,10,209946
Beauty,2016,11,344458
Beauty,2016,12,161326
Beauty,2017,1,260882
Beauty,2017,2,195434
Beauty,2017,3,303290
Beauty,2017,4,199348
Beauty,2017,5,191517
Beauty,2017,6,149976
Beauty,2017,7,150110
Beauty,2017,8,244359
Beauty,2017,9,315437
Beauty,2017,10,292639
Beauty,2017,11,499655
Beauty,2017,12,200499
Beauty,2018,1,305156
Beauty,2018,2,270952
Beauty,2018,3,395154
Beauty,2018,4,268265
Beauty,2018,5,228090
Beauty,2018,6,209348
Beauty,2018,7,159069
Beauty,2018,8,192368
Beauty,2018,9,186100
Beauty,2018,10,215796
Beauty,2018,11,425370
Beauty,2018,12,184965
Beverage,2016,1,83787
Beverage,2016,2,93232
Beverage,2016,3,89532
Beverage,2016,4,82751
Beverage,2016,5,54284
Beverage,2016,6,44176
Beverage,2016,7,43230
Beverage,2016,8,105758
Beverage,2016,9,165958
Beverage,2016,10,215263
Beverage,2016,11,222809
Beverage,2016,12,114608
Beverage,2017,1,245728
Beverage,2017,2,192226
Beverage,2017,3,312208
Beverage,2017,4,187178
Beverage,2017,5,191161
Beverage,2017,6,135422
Beverage,2017,7,119483
Beverage,2017,8,205527
Beverage,2017,9,304303
Beverage,2017,10,377611
Beverage,2017,11,558085
Beverage,2017,12,233538
Beverage,2018,1,400249
Beverage,2018,2,433705
Beverage,2018,3,478983
Beverage,2018,4,333226
Beverage,2018,5,264543
Beverage,2018,6,219963
Beverage,2018,7,164829
Beverage,2018,8,260652
Beverage,2018,9,352530
Beverage,2018,10,465210
Beverage,2018,11,539926
Beverage,2018,12,273275
Books,2018,7,6
Gift,2016,1,1551
Gift,2016,2,792
Gift,2016,3,26934
Gift,2016,4,48878
Gift,2016,5,42950
Gift,2016,6,1960
Gift,2016,7,4191
Gift,2016,8,2531
Gift,2016,9,12550
Gift,2016,10,14093
Gift,2016,11,4272
Gift,2016,12,44023
Gift,2017,1,26414
Gift,2017,2,9165
Gift,2017,3,23234
Gift,2017,4,7792
Gift,2017,5,9392
Gift,2017,6,15861
Gift,2017,7,3003
Gift,2017,8,64972
Gift,2017,9,9728
Gift,2017,10,16607
Gift,2017,11,10474
Gift,2017,12,32743
Gift,2018,1,26050
Gift,2018,2,4468
Gift,2018,3,51140
Gift,2018,4,10824
Gift,2018,5,14318
Gift,2018,6,16485
Gift,2018,7,6675
Gift,2018,8,2684
Gift,2018,9,2163
Gift,2018,10,2029
Gift,2018,11,5451
Gift,2018,12,7322
Grocery,2016,1,269269
Grocery,2016,2,272351
Grocery,2016,3,275765
Grocery,2016,4,196262
Grocery,2016,5,186003
Grocery,2016,6,168166
Grocery,2016,7,143412
Grocery,2016,8,302481
Grocery,2016,9,495725
Grocery,2016,10,539720
Grocery,2016,11,761824
Grocery,2016,12,427294
Grocery,2017,1,746331
Grocery,2017,2,557364
Grocery,2017,3,746864
Grocery,2017,4,505769
Grocery,2017,5,468068
Grocery,2017,6,382316
Grocery,2017,7,360054
Grocery,2017,8,588750
Grocery,2017,9,828938
Grocery,2017,10,939144
Grocery,2017,11,1164133
Grocery,2017,12,534073
Grocery,2018,1,808408
Grocery,2018,2,851405
Grocery,2018,3,1038266
Grocery,2018,4,634035
Grocery,2018,5,531365
Grocery,2018,6,479042
Grocery,2018,7,376646
Grocery,2018,8,538796
Grocery,2018,9,737455
Grocery,2018,10,822882
Grocery,2018,11,1060918
Grocery,2018,12,592442
Health,2016,1,18679
Health,2016,2,20895
Health,2016,3,22893
Health,2016,4,19510
Health,2016,5,17898
Health,2016,6,12513
Health,2016,7,14534
Health,2016,8,22682
Health,2016,9,31278
Health,2016,10,35952
Health,2016,11,43505
Health,2016,12,21455
Health,2017,1,35103
Health,2017,2,25073
Health,2017,3,37594
Health,2017,4,26458
Health,2017,5,26026
Health,2017,6,21191
Health,2017,7,17043
Health,2017,8,25277
Health,2017,9,36993
Health,2017,10,50192
Health,2017,11,64657
Health,2017,12,28347
Health,2018,1,30907
Health,2018,2,34767
Health,2018,3,47335
Health,2018,4,26890
Health,2018,5,26060
Health,2018,6,22023
Health,2018,7,15126
Health,2018,8,19525
Health,2018,9,23212
Health,2018,10,29768
Health,2018,11,42065
Health,2018,12,26631
Home,2016,1,7599
Home,2016,2,7444
Home,2016,3,9265
Home,2016,4,7716
Home,2016,5,7987
Home,2016,6,5430
Home,2016,7,5711
Home,2016,8,12898
Home,2016,9,15446
Home,2016,10,15663
Home,2016,11,24092
Home,2016,12,14762
Home,2017,1,24854
Home,2017,2,13482
Home,2017,3,23491
Home,2017,4,13874
Home,2017,5,17081
Home,2017,6,13016
Home,2017,7,13030
Home,2017,8,23520
Home,2017,9,28780
Home,2017,10,26561
Home,2017,11,34136
Home,2017,12,14976
Home,2018,1,24324
Home,2018,2,21961
Home,2018,3,28603
Home,2018,4,18914
Home,2018,5,14804
Home,2018,6,16190
Home,2018,7,11708
Home,2018,8,17285
Home,2018,9,19453
Home,2018,10,21347
Home,2018,11,34222
Home,2018,12,17894
Snack,2016,1,383829
Snack,2016,2,378364
Snack,2016,3,408115
Snack,2016,4,338264
Snack,2016,5,262166
Snack,2016,6,197452
Snack,2016,7,200557
Snack,2016,8,314801
Snack,2016,9,514207
Snack,2016,10,623163
Snack,2016,11,770103
Snack,2016,12,373158
Snack,2017,1,773077
Snack,2017,2,626791
Snack,2017,3,801418
Snack,2017,4,584260
Snack,2017,5,607498
Snack,2017,6,400713
Snack,2017,7,395659
Snack,2017,8,607050
Snack,2017,9,865637
Snack,2017,10,1069591
Snack,2017,11,1270210
Snack,2017,12,571146
Snack,2018,1,700874
Snack,2018,2,876580
Snack,2018,3,1020084
Snack,2018,4,639472
Snack,2018,5,517584
Snack,2018,6,471151
Snack,2018,7,321363
Snack,2018,8,498621
Snack,2018,9,696021
Snack,2018,10,768703
Snack,2018,11,924912
Snack,2018,12,512964
"Tickets & Vouchers",2016,1,12
"Tickets & Vouchers",2016,2,14
"Tickets & Vouchers",2016,3,13
"Tickets & Vouchers",2016,4,10
"Tickets & Vouchers",2016,5,333
"Tickets & Vouchers",2016,6,34
"Tickets & Vouchers",2016,7,14
"Tickets & Vouchers",2016,8,36
"Tickets & Vouchers",2016,9,55
"Tickets & Vouchers",2016,10,41
"Tickets & Vouchers",2016,11,36
"Tickets & Vouchers",2016,12,35
"Tickets & Vouchers",2017,1,20
"Tickets & Vouchers",2018,12,324
